Position;PositionIdx;Indices;Frame;Idx;Time;SNR;Nucleoid_size;NucleoidLength;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;ObjectCount
Im001;0;0-33-0;0;0;0.00000;13.00962;0.93733;1.67007;1.30516;-6.52419e-02;2.08669;0.81691;0
Im001;0;0-34-0;0;0;0.00000;7.57278;0.73157;1.25141;0.95287;2.81028e-02;1.98301;0.88205;0
Im001;0;0-35-0;0;0;0.00000;9.54175;0.92590;1.57858;0.66506;-4.08759e-02;2.14804;0.83528;0
Im001;0;1-0-0;1;0;2.00000;11.52383;1.34884;2.43804;1.41272;0.16847;2.85215;0.84203;0
Im001;0;1-1-0;1;0;2.00000;7.37181;0.96019;1.60372;1.39557;3.92293e-02;2.41247;0.93188;0
Im001;0;1-2-0;1;0;2.00000;7.09911;0.89160;1.48531;1.00122;-8.51929e-02;4.19232;0.81930;0
Im001;0;1-2-1;1;1;2.00000;7.37066;0.83445;1.33964;3.06032;-0.11513;4.19232;0.85133;0
Im001;0;1-3-0;1;0;2.00000;4.30667;0.86874;1.83009;0.87154;3.70517e-02;2.12923;1.03016;0
Im001;0;1-4-0;1;0;2.00000;5.28208;0.65156;1.32247;1.08150;5.88270e-02;4.10805;0.91323;0
Im001;0;1-4-1;1;1;2.00000;5.72512;0.94876;1.39400;2.96887;7.25886e-02;4.10805;0.89059;0
Im001;0;1-5-0;1;0;2.00000;20.96720;0.85731;1.45420;1.03293;-6.32969e-02;1.95882;0.87591;0
Im001;0;1-6-0;1;0;2.00000;6.66992;0.74300;1.53079;0.91766;-5.35809e-02;2.03099;0.86054;0
Im001;0;1-7-0;1;0;2.00000;20.99721;0.34292;0.65034;0.56228;-5.81329e-02;2.65583;0.76218;0
Im001;0;1-8-0;1;0;2.00000;11.48359;0.35436;0.71721;0.57337;-1.06728e-02;2.34600;0.79075;0
Im001;0;1-8-1;1;1;2.00000;11.50344;0.52582;1.07448;1.65250;-9.94150e-02;2.34600;0.75532;0
Im001;0;1-9-0;1;0;2.00000;6.43939;0.66299;1.30068;0.98962;-5.31426e-02;3.91484;0.88814;0
Im001;0;1-9-1;1;1;2.00000;7.15618;1.01734;1.86719;2.85752;7.38078e-02;3.91484;0.89302;0
Im001;0;1-10-0;1;0;2.00000;14.32537;0.93733;1.58941;0.93590;-2.17906e-02;1.96395;0.89392;0
Im001;0;1-11-0;1;0;2.00000;11.45265;1.28025;2.36666;1.59507;4.52275e-03;3.16124;0.86199;0
Im001;0;1-12-0;1;0;2.00000;5.76508;0.93733;1.53079;0.98327;7.30085e-02;2.22617;0.86601;0
Im001;0;1-13-0;1;0;2.00000;5.28721;0.65156;1.11623;0.77766;4.58480e-02;3.58779;0.91497;0
Im001;0;1-13-1;1;1;2.00000;5.24966;0.57154;1.18091;2.35448;6.20229e-04;3.58779;0.86974;0
Im001;0;1-14-0;1;0;2.00000;7.36038;0.78873;1.39400;0.71906;-1.47698e-02;3.66805;0.86779;0
Im001;0;1-14-1;1;1;2.00000;7.12243;0.84588;1.51201;2.57944;-1.45571e-02;3.66805;0.88255;0
Im001;0;1-15-0;1;0;2.00000;3.67389;0.78873;1.21902;0.95264;1.15937e-02;2.16531;0.88427;0
Im001;0;1-16-0;1;0;2.00000;9.28421;1.20024;2.10869;1.29548;5.67587e-02;2.55215;0.89457;0
Im001;0;1-17-0;1;0;2.00000;9.49738;0.74300;1.53079;1.04331;-6.50402e-02;2.00809;0.94729;0
Im001;0;1-18-0;1;0;2.00000;7.53064;1.45171;2.37390;1.47478;-9.40430e-02;2.92818;0.88500;0
Im001;0;1-19-0;1;0;2.00000;11.09635;0.85731;1.71064;0.85985;-4.86289e-02;2.16189;0.94356;0
